playerid,display_name,common_name,source
# Verified against save file's editedplayernames table (nQVU),,,
# Entries here supplement players whose names aren't stored in the save.,,,
# To add more: look up player ID on sofifa.com, verify name, append below.,
49212,J. Speroni,J. Speroni,dataset
49472,L. Butelle,L. Butelle,dataset
49488,E. Didot,E. Didot,dataset
49511,F. Kippe,F. Kippe,dataset
49575,M. Andersson,M. Andersson,dataset
49589,J. JÃ¶nsson,J. JÃ¶nsson,dataset
49659,K. Ziani,K. Ziani,dataset
49756,J. Poulsen,J. Poulsen,dataset
49939,A. Nef,A. Nef,dataset
50294,S. Camara,S. Camara,dataset
50531,O. Storflor,O. Storflor,dataset
50542,J. Defoe,J. Defoe,dataset
50632,P. Clarke,P. Clarke,dataset
50955,J. Cavalli,J. Cavalli,dataset
51101,M. Domizzi,M. Domizzi,dataset
51123,M. Bodmer,M. Bodmer,dataset
51159,Nelson Ferreira,Nelson Ferreira,dataset
51257,P. Crouch,P. Crouch,dataset
51261,B. Myhill,B. Myhill,dataset
51353,K. Miller,K. Miller,dataset
51694,H. Opdal,H. Opdal,dataset
51887,A. Le Tallec,A. Le Tallec,dataset
51921,A. Chambers,A. Chambers,dataset
52126,F. Balmont,F. Balmont,dataset
52306,C. Brunt,C. Brunt,dataset
52326,E. JakupoviÄ,E. JakupoviÄ,dataset
52340,M. MariÄ,M. MariÄ,dataset
52498,M. Lehmann,M. Lehmann,dataset
52679,J. Murphy,J. Murphy,dataset
52752,T. Barnetta,T. Barnetta,dataset
52842,Camacho,Camacho,dataset
53050,E. Adebayor,E. Adebayor,dataset
53073,S. Kulovits,S. Kulovits,dataset
53110,C. Gordon,C. Gordon,dataset
53352,D. Bulman,D. Bulman,dataset
53363,A. Collin,A. Collin,dataset
53412,A. Ferdinand,A. Ferdinand,dataset
53593,G. O'Neil,G. O'Neil,dataset
53630,J. Van Damme,J. Van Damme,dataset
53655,J. Bothroyd,J. Bothroyd,dataset
53736,L. Camp,L. Camp,dataset
53739,L. Grant,L. Grant,dataset
53741,L. Holmes,L. Holmes,dataset
53748,K. Pilkington,K. Pilkington,dataset
53756,L. Price,L. Price,dataset
53778,M. Richards,M. Richards,dataset
53818,M. Bloomfield,M. Bloomfield,dataset
53827,M. Taylor,M. Taylor,dataset
53842,M. Tonge,M. Tonge,dataset
53855,N. Tyson,N. Tyson,dataset
53914,P. Jagielka,P. Jagielka,dataset
53960,S. Russell,S. Russell,dataset
